Nome,Partido,UF,Tipo_de_Despesa,Valor
LUIZ PHILIPPE DE ORLEANS E BRAGANÇA,PSL,SP,EMISSÃO BILHETE AÉREO,"R$  45698,88"
MARCIO ALVINO,PL,SP,EMISSÃO BILHETE AÉREO,"R$  24328,88"
GUSTAVO FRUET,PDT,PR,EMISSÃO BILHETE AÉREO,"R$  19995,89"
ABOU ANNI,PSL,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  20898,72"
ANÍBAL GOMES,DEM,CE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  24420
CAROLINE DE TONI,PSL,SC,EMISSÃO BILHETE AÉREO,"R$  33952,32"
DR. LUIZ OVANDO,PSL,MS,EMISSÃO BILHETE AÉREO,"R$  17249,69"
FELIPE CARRERAS,PSB,PE,EMISSÃO BILHETE AÉREO,"R$  46173,9"
DANIEL TRZECIAK,PSDB,RS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  23812,16"
SÉRGIO BRITO,PSD,BA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  28020
DELEGADO WALDIR,PSL,GO,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  31500
GREYCE ELIAS,AVANTE,MG,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  18345,71"
CARLOS BEZERRA,MDB,MT,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  35000
RODRIGO AGOSTINHO,PSB,SP,EMISSÃO BILHETE AÉREO,R$  33374
ELIAS VAZ,PSB,GO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  27500
JOSIAS GOMES,PT,BA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  12979,8"
PROFESSOR ISRAEL BATISTA,PV,DF,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  16000
CAPITÃO FÁBIO ABREU,PL,PI,EMISSÃO BILHETE AÉREO,"R$  20960,32"
RUBENS PEREIRA JÚNIOR,PCdoB,MA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  20000
ADRIANA VENTURA,NOVO,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  25196,28"
NELSON BARBUDO,PSL,MT,EMISSÃO BILHETE AÉREO,"R$  12731,99"
JUNIO AMARAL,PSL,MG,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  15000
PAULO GANIME,NOVO,RJ,PASSAGENS AÉREAS,"R$  30834,14"
FLÁVIA ARRUDA,PL,DF,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  23700
PAES LANDIM,PTB,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,R$  18720
GILSON MARQUES,NOVO,SC,PASSAGENS AÉREAS,"R$  15330,87"
VINICIUS POIT,NOVO,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  11017,6"
LUIS MIRANDA,DEM,DF,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  12453,22"
MARCEL VAN HATTEM,NOVO,RS,PASSAGENS AÉREAS,"R$  14335,33"
JOSÉ NELTO,PODE,GO,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  17381,23"
COVATTI FILHO,PP,RS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  20582
PAULO EDUARDO MARTINS,PSC,PR,EMISSÃO BILHETE AÉREO,"R$  18962,4"
TIAGO MITRAUD,NOVO,MG,PASSAGENS AÉREAS,"R$  6094,68"
SIMPLÍCIO ARAÚJO,SOLIDARIEDADE,MA,EMISSÃO BILHETE AÉREO,"R$  7107,46"
SANDRO ALEX,PSD,PR,EMISSÃO BILHETE AÉREO,"R$  1039,39"
HERCÍLIO COELHO DINIZ,MDB,MG,TELEFONIA,"R$  608,14"
OSMAR TERRA,MDB,RS,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  195,33"
PAULO FOLETTO,PSB,ES,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  238,93"
PAULA BELMONTE,CIDADANIA,DF,TELEFONIA,"R$  201,88"
TEREZA CRISTINA,DEM,MS,TELEFONIA,"R$  26,02"
MARCELO ÁLVARO ANTÔNIO,PSL,MG,SERVIÇOS POSTAIS,"R$  9,1"
ONYX LORENZONI,DEM,RS,TELEFONIA,"R$  5,94"
